x,y,z
7.6453857,5.4138775,5.967454
8.300079,-8.310576,6.584405
-2.3427248,-6.009438,2.5098777
9.186113,-5.853921,9.707215
-2.1910357,5.282649,1.8569807
2.0179071,-0.33323097,0.7292972
-4.8685503,-9.177546,2.0441723
5.8728266,9.807228,3.387424
8.81543,2.6063843,6.0776086
-7.336282,9.197449,5.4054403
8.691961,1.2482948,6.882518
1.8715935,1.4335299,0.929822
7.388088,7.208002,6.213479
1.3543053,-6.803429,0.841813
4.8218813,9.443886,2.3251119
-1.41191,-6.4318037,1.5252514
7.7088585,0.9063835,7.2065163
1.4780893,-6.503737,1.3814664
-4.668399,-6.6257486,2.6557117
2.5489826,7.696993,1.5021718
-4.6073666,-2.6411524,0.8581925
-1.1727285,-1.87675,0.6442822
-4.0615835,7.813137,1.3780181
6.633709,9.796967,4.301362
-7.8937016,-9.019427,6.1844244
-4.6101036,-0.17455101,3.8307319
-2.8237476,2.855547,-1.1401757
-6.012725,9.60129,1.7057428
0.94383144,-3.9867067,0.007436335
-9.876791,-3.254465,9.426652
9.03109,-5.861187,8.6117325
-8.494682,2.5551138,6.1006937
7.720274,2.466302,5.3695507
1.6641912,-0.157691,1.0051196
-3.2470455,-1.0142279,1.4315352
6.1795006,-6.961832,5.4171834
1.5585079,-4.107349,-0.44377604
8.079634,-3.8032093,6.3735685
1.0931969,2.6267328,-0.4840678
-3.1537318,4.4160185,-0.27543166
2.6868362,4.6685305,0.655273
-2.7117944,-7.633214,1.915595
4.2085752,-0.77083397,2.5908809
8.928221,-1.9084282,8.611423
5.780596,9.974991,3.3860207
-4.371725,7.216175,2.375801
5.772647,-7.4645844,4.4902353
1.7892628,-5.4946795,1.4205847
5.07835,-7.5541553,2.2584147
-6.095051,-2.5027027,3.3506474
-9.899084,-8.749567,8.042476
-3.8636055,4.699848,2.1176636
-7.6702285,-4.410118,6.253095
8.205389,-5.018882,7.36915
2.8803139,0.47261238,2.698133
4.1421356,-3.19518,0.0973559
3.162612,7.5544662,0.3491942
-0.17395973,9.064808,-1.9328625
7.826082,-8.928661,4.555386
-7.105136,4.483568,4.3951335
0.62963676,0.20866013,1.1489561
-6.825402,5.248678,6.1237135
3.08352,-3.7489486,0.97456837
-3.4438229,-0.7571411,2.421889
3.0641632,-0.1870594,1.379158
-2.083415,3.428772,-1.2830687
8.293919,4.9859657,6.658736
-5.927019,3.9000425,3.689095
-5.9639797,1.2272787,3.0331917
-5.96434,-7.9774847,2.993298
8.994429,-5.744504,7.9623985
3.332511,-5.6969213,1.8084944
9.622507,-9.965567,7.404786
-8.252763,9.579,6.313819
-9.918761,-4.5274315,10.452428
-7.823638,-6.6469374,8.041595
-6.7268906,-4.528575,3.527343
4.0504017,5.4297085,2.2965908
3.580759,-6.2687674,2.7222574
8.309244,-8.3557,6.1140695
-5.1642537,-7.47427,3.820878
-6.8171177,2.1976576,3.3966165
5.3057814,-0.40912533,2.9072275
-4.0420446,-9.022516,-0.22875321
6.0692387,-6.840354,5.157246
-2.3730063,-8.666234,0.8268302
5.720459,3.43054,3.0133283
-7.76968,4.525463,6.4187946
-5.0464973,1.703413,1.6775614
3.0487642,-3.2038212,0.267668
2.1140757,-5.357821,1.9941072
-2.5495872,3.953413,0.5708564
5.9606943,-2.296362,1.9886587
6.798092,-1.6052237,5.583533
-7.251734,-3.2781897,3.2901764
-5.338682,1.7379675,2.5379586
9.15662,2.345745,8.174656
-3.3743248,8.216089,0.26117843
-3.545164,8.880981,0.33251154
-9.675946,-2.5772438,8.32323
-5.726702,1.4862165,2.572247
2.4980364,-6.6840124,2.3802032
-1.319932,-7.5070724,0.04884976
-7.2588596,8.292368,5.326571
0.23456669,1.1779871,0.6611011
-6.8308153,-4.972187,5.482095
-8.483967,5.027423,8.478721
-5.506626,4.0342436,2.626999
-8.752121,3.579649,6.840683
